race
Total Deaths
Non-Hispanic White
Non-Hispanic Black
Non-Hispanic American Indian or Alaska Native
Non-Hispanic Asian
Non-Hispanic Native Hawaiian or Other Pacific Islander
Non-Hispanic More than one race
Hispanic
Unknown
