Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
10/28/2020,02/01/2020,10/24/2020,AZ,Apache County,4001,Noncore,42,410
10/28/2020,02/01/2020,10/24/2020,AZ,Cochise County,4003,Small metro,30,821
10/28/2020,02/01/2020,10/24/2020,AZ,Coconino County,4005,Small metro,131,962
10/28/2020,02/01/2020,10/24/2020,AZ,Gila County,4007,Micropolitan,32,547
10/28/2020,02/01/2020,10/24/2020,AZ,Graham County,4009,Micropolitan,22,233
10/28/2020,02/01/2020,10/24/2020,AZ,Maricopa County,4013,Large central metro,3498,32145
10/28/2020,02/01/2020,10/24/2020,AZ,Mohave County,4015,Small metro,191,2678
10/28/2020,02/01/2020,10/24/2020,AZ,Navajo County,4017,Micropolitan,61,801
10/28/2020,02/01/2020,10/24/2020,AZ,Pima County,4019,Medium metro,739,9271
10/28/2020,02/01/2020,10/24/2020,AZ,Pinal County,4021,Large fringe metro,84,2014
10/28/2020,02/01/2020,10/24/2020,AZ,Yavapai County,4025,Small metro,78,2403
10/28/2020,02/01/2020,10/24/2020,AZ,Yuma County,4027,Small metro,311,1664
10/28/2020,02/01/2020,10/24/2020,CA,Alameda County,6001,Large central metro,442,8080
10/28/2020,02/01/2020,10/24/2020,CA,Amador County,6005,Noncore,28,321
10/28/2020,02/01/2020,10/24/2020,CA,Butte County,6007,Small metro,51,1644
10/28/2020,02/01/2020,10/24/2020,CA,Calaveras County,6009,Noncore,11,283
10/28/2020,02/01/2020,10/24/2020,CA,Contra Costa County,6013,Large fringe metro,215,6016
10/28/2020,02/01/2020,10/24/2020,CA,Fresno County,6019,Medium metro,431,6153
10/28/2020,02/01/2020,10/24/2020,CA,Imperial County,6025,Small metro,192,940
10/28/2020,02/01/2020,10/24/2020,CA,Inyo County,6027,Noncore,14,144
10/28/2020,02/01/2020,10/24/2020,CA,Kern County,6029,Medium metro,419,5091
10/28/2020,02/01/2020,10/24/2020,CA,Kings County,6031,Small metro,119,750
10/28/2020,02/01/2020,10/24/2020,CA,Lake County,6033,Micropolitan,12,482
10/28/2020,02/01/2020,10/24/2020,CA,Los Angeles County,6037,Large central metro,6189,55802
10/28/2020,02/01/2020,10/24/2020,CA,Madera County,6039,Small metro,91,773
10/28/2020,02/01/2020,10/24/2020,CA,Marin County,6041,Large fringe metro,100,1511
10/28/2020,02/01/2020,10/24/2020,CA,Mendocino County,6045,Micropolitan,17,623
10/28/2020,02/01/2020,10/24/2020,CA,Merced County,6047,Medium metro,83,1197
10/28/2020,02/01/2020,10/24/2020,CA,Monterey County,6053,Medium metro,80,2054
